tituloOriginal,ranking,genero,anyo,presupuesto,duraccion,pais,titulo
,#122,"Acción, Fantasía, Ciencia ficción",2009,,,X-Men Origins: Wolverine,
Dallas Buyers Club,#133,Drama,2013,5.500.000$,117 minutos,EE.UU.,Dallas Buyers Club
Apocalypse Now,#137,American Zoetrope,1979,,147 minutos,EE.UU.,Apocalypse Now
Love Actually,#120,Universal Pictures,2003,,128 minutos,Reino Unido,Love Actually
The Hateful Eight,#124,"Western, Drama",2015,44.000.000€,182 minutos,EE.UU.,The Hateful Eight
The Ghost Writer,#123,eOne Films,2010,,128 minutos,Alemania,The Ghost Writer
(500) Days of Summer,#119,"Watermark, 20th Century Fox",2009,,95 minutos,EE.UU.,(500) Days of Summer
Nebraska,#121,"Aventura, Drama",2013,13.000.000$,115 minutos,EE.UU.,Nebraska
The Theory of Everything,#117,"Focus Features, Universal Pictures",2014,,123 minutos,Reino Unido,The Theory of Everything
The Goonies,#115,"Warner Bros. Pictures, Warner Bros. Pictures",1985,,110 minutos,EE.UU.,The Goonies
,#111,,1986,,,Aliens,
The Princess Bride,#110,"Metro Goldwyn Mayer, United Artists",1987,,98 minutos,EE.UU.,The Princess Bride
Troy,#113,"Acción, Aventura, Drama",2004,175.000.000$,163 minutos,EE.UU.,Troy
Beauty and the Beast,#116,Walt Disney Pictures,1991,,84 minutos,EE.UU.,Beauty and the Beast
Cast Away,#112,"Aventura, Drama",2000,90.000.000$,143 minutos,EE.UU.,Cast Away
The Help,#118,Drama,2011,25.000.000$,146 minutos,EE.UU.,The Help
Lawrence of Arabia,#104,"Aventura, Drama, Guerra",1962,15.000.000$,222 minutos,Reino Unido,Lawrence of Arabia
,#107,,2004,,,Spider-Man 2,
Moulin Rouge!,#114,"Música, Drama, Romance",2001,52.500.000$,127 minutos,EE.UU.,Moulin Rouge!
Reservoir Dogs,#109,"Crimen, Thriller",1992,1.200.000$,99 minutos,EE.UU.,Reservoir Dogs
,#108,"Marvel Enterprises, Walt Disney Pictures",2018,,,Avengers: Infinity War,
,#103,,2003,,,Kill Bill: Vol. 1,
Jagten,#102,Drama,2012,3.800.000$,115 minutos,Dinamarca,Jagten
The Fault in Our Stars,#105,"Fox 2000 Pictures, 20th Century Fox",2014,,125 minutos,EE.UU.,The Fault in Our Stars
,#106,,2017,,,Spider-Man: Homecoming,
If I Stay,#449,"DiNovi Pictures, Warner Bros. Pictures",2014,,106 minutos,EE.UU.,If I Stay
Big Hero 6,#450,"Aventura, Animación",2014,165.000.000$,108 minutos,EE.UU.,Big Hero 6
127 hours,#451,"Drama, Aventura, Biografía",2010,18.000.000$,94 minutos,EE.UU.,127 hours
The Croods,#447,"DreamWorks SKG, 20th Century Fox",2013,,98 minutos,EE.UU.,The Croods
The Best of Me,#448,"Drama, Romance",2014,26.000.000$,117 minutos,EE.UU.,The Best of Me
Project Almanac,#444,"Ciencia ficción, Thriller",2014,12.000.000$,106 minutos,EE.UU.,Project Almanac
,#446,"Aventura, Misterio, Thriller",2015,,,Maze Runner: The Scorch Trials,
,#443,,2002,,,Ice Age,
,#445,"Misterio, Ciencia ficción, Thriller",2014,,,The Maze Runner,
The Straight Story,#441,"Aventura, Biografía, Drama",1999,10.000.000$,111 minutos,Reino Unido,The Straight Story
Amour,#442,Golem Distribución,2012,,125 minutos,Francia,Amour
World War Z,#436,"Acción, Terror, Ciencia ficción",2013,170.000.000$,116 minutos,EE.UU.,World War Z
Se7en,#439,"Thriller, Crimen, Acción",1995,33.000.000$,126 minutos,EE.UU.,Se7en
Soul Surfer,#438,Walt Disney Pictures,2011,,106 minutos,EE.UU.,Soul Surfer
The Karate Kid,#435,Columbia Pictures,2010,,140 minutos,EE.UU.,The Karate Kid
"Amanece, que no es poco",#437,,1989,,110 minutos,España,"Amanece, que no es poco"
